name,fileName,emotion,episode
100years,cropped_1,sad,epi36
100years,cropped_10,None,epi36
100years,cropped_100,sad,epi36
100years,cropped_11,None,epi36
100years,cropped_12,sad,epi36
100years,cropped_13,sad,epi36
100years,cropped_14,fear,epi36
100years,cropped_15,sad,epi36
100years,cropped_16,None,epi36
100years,cropped_17,sad,epi36
100years,cropped_18,happy,epi36
100years,cropped_19,disgust,epi36
100years,cropped_2,None,epi36
100years,cropped_20,sad,epi36
100years,cropped_21,sad,epi36
100years,cropped_22,sad,epi36
100years,cropped_23,None,epi36
100years,cropped_24,fear,epi36
100years,cropped_25,fear,epi36
100years,cropped_26,angry,epi36
100years,cropped_27,None,epi36
100years,cropped_28,fear,epi36
100years,cropped_29,fear,epi36
100years,cropped_3,sad,epi36
100years,cropped_30,fear,epi36
100years,cropped_31,None,epi36
100years,cropped_32,sad,epi36
100years,cropped_33,happy,epi36
100years,cropped_34,sad,epi36
100years,cropped_35,None,epi36
100years,cropped_36,fear,epi36
100years,cropped_37,sad,epi36
100years,cropped_38,sad,epi36
100years,cropped_39,sad,epi36
100years,cropped_4,angry,epi36
100years,cropped_40,sad,epi36
100years,cropped_41,fear,epi36
100years,cropped_42,surprise,epi36
100years,cropped_43,angry,epi36
100years,cropped_44,fear,epi36
100years,cropped_45,fear,epi36
100years,cropped_46,None,epi36
100years,cropped_47,happy,epi36
100years,cropped_48,happy,epi36
100years,cropped_49,happy,epi36
100years,cropped_5,sad,epi36
100years,cropped_50,surprise,epi36
100years,cropped_51,None,epi36
100years,cropped_52,surprise,epi36
100years,cropped_53,None,epi36
100years,cropped_54,None,epi36
100years,cropped_55,sad,epi36
100years,cropped_56,sad,epi36
100years,cropped_57,None,epi36
100years,cropped_58,None,epi36
100years,cropped_59,None,epi36
100years,cropped_6,sad,epi36
100years,cropped_60,sad,epi36
100years,cropped_61,happy,epi36
100years,cropped_62,None,epi36
100years,cropped_63,sad,epi36
100years,cropped_64,sad,epi36
100years,cropped_65,sad,epi36
100years,cropped_66,sad,epi36
100years,cropped_67,surprise,epi36
100years,cropped_68,None,epi36
100years,cropped_69,sad,epi36
100years,cropped_7,sad,epi36
