name,fileName,emotion,episode,rating
100years,cropped_35,happy,epi2_100_face,15.6
100years,cropped_36,sad,epi2_100_face,15.6
100years,cropped_37,sad,epi2_100_face,15.6
100years,cropped_38,happy,epi2_100_face,15.6
100years,cropped_39,sad,epi2_100_face,15.6
100years,cropped_4,fear,epi2_100_face,15.6
100years,cropped_40,happy,epi2_100_face,15.6
100years,cropped_41,happy,epi2_100_face,15.6
100years,cropped_42,happy,epi2_100_face,15.6
100years,cropped_44,fear,epi2_100_face,15.6
100years,cropped_45,fear,epi2_100_face,15.6
100years,cropped_46,surprise,epi2_100_face,15.6
100years,cropped_47,happy,epi2_100_face,15.6
100years,cropped_48,fear,epi2_100_face,15.6
100years,cropped_49,surprise,epi2_100_face,15.6
100years,cropped_5,sad,epi2_100_face,15.6
100years,cropped_50,sad,epi2_100_face,15.6
100years,cropped_51,fear,epi2_100_face,15.6
100years,cropped_52,sad,epi2_100_face,15.6
100years,cropped_53,happy,epi2_100_face,15.6
100years,cropped_54,happy,epi2_100_face,15.6
100years,cropped_55,fear,epi2_100_face,15.6
100years,cropped_56,fear,epi2_100_face,15.6
100years,cropped_57,None,epi2_100_face,15.6
100years,cropped_58,happy,epi2_100_face,15.6
100years,cropped_59,sad,epi2_100_face,15.6
100years,cropped_6,None,epi2_100_face,15.6
100years,cropped_60,sad,epi2_100_face,15.6
100years,cropped_61,sad,epi2_100_face,15.6
100years,cropped_62,sad,epi2_100_face,15.6
100years,cropped_63,fear,epi2_100_face,15.6
100years,cropped_64,None,epi2_100_face,15.6
100years,cropped_65,sad,epi2_100_face,15.6
100years,cropped_66,sad,epi2_100_face,15.6
100years,cropped_67,None,epi2_100_face,15.6
100years,cropped_68,None,epi2_100_face,15.6
100years,cropped_69,fear,epi2_100_face,15.6
100years,cropped_7,sad,epi2_100_face,15.6
100years,cropped_70,sad,epi2_100_face,15.6
100years,cropped_71,sad,epi2_100_face,15.6
100years,cropped_72,None,epi2_100_face,15.6
100years,cropped_73,sad,epi2_100_face,15.6
100years,cropped_74,happy,epi2_100_face,15.6
100years,cropped_75,sad,epi2_100_face,15.6
100years,cropped_76,sad,epi2_100_face,15.6
100years,cropped_77,sad,epi2_100_face,15.6
100years,cropped_78,None,epi2_100_face,15.6
100years,cropped_79,happy,epi2_100_face,15.6
100years,cropped_8,None,epi2_100_face,15.6
100years,cropped_80,None,epi2_100_face,15.6
100years,cropped_81,sad,epi2_100_face,15.6
100years,cropped_82,fear,epi2_100_face,15.6
100years,cropped_83,angry,epi2_100_face,15.6
100years,cropped_84,fear,epi2_100_face,15.6
100years,cropped_85,sad,epi2_100_face,15.6
100years,cropped_86,happy,epi2_100_face,15.6
100years,cropped_87,fear,epi2_100_face,15.6
100years,cropped_88,sad,epi2_100_face,15.6
100years,cropped_89,sad,epi2_100_face,15.6
100years,cropped_9,fear,epi2_100_face,15.6
100years,cropped_90,fear,epi2_100_face,15.6
100years,cropped_91,surprise,epi2_100_face,15.6
100years,cropped_92,fear,epi2_100_face,15.6
100years,cropped_93,angry,epi2_100_face,15.6
100years,cropped_94,None,epi2_100_face,15.6
100years,cropped_95,happy,epi2_100_face,15.6
100years,cropped_96,sad,epi2_100_face,15.6
100years,cropped_97,sad,epi2_100_face,15.6
100years,cropped_98,sad,epi2_100_face,15.6
100years,cropped_99,sad,epi2_100_face,15.6
100years,cropped_1,fear,epi3_100_face,15.4
100years,cropped_10,fear,epi3_100_face,15.4
100years,cropped_100,None,epi3_100_face,15.4
100years,cropped_101,sad,epi3_100_face,15.4
100years,cropped_102,happy,epi3_100_face,15.4
100years,cropped_103,None,epi3_100_face,15.4
100years,cropped_11,happy,epi3_100_face,15.4
100years,cropped_12,happy,epi3_100_face,15.4
100years,cropped_13,fear,epi3_100_face,15.4
100years,cropped_14,sad,epi3_100_face,15.4
100years,cropped_15,happy,epi3_100_face,15.4
100years,cropped_16,sad,epi3_100_face,15.4
100years,cropped_17,surprise,epi3_100_face,15.4
100years,cropped_18,sad,epi3_100_face,15.4
100years,cropped_19,sad,epi3_100_face,15.4
100years,cropped_2,happy,epi3_100_face,15.4
100years,cropped_20,fear,epi3_100_face,15.4
100years,cropped_21,sad,epi3_100_face,15.4
100years,cropped_22,sad,epi3_100_face,15.4
100years,cropped_23,surprise,epi3_100_face,15.4
100years,cropped_24,sad,epi3_100_face,15.4
100years,cropped_25,None,epi3_100_face,15.4
100years,cropped_26,None,epi3_100_face,15.4
100years,cropped_27,fear,epi3_100_face,15.4
100years,cropped_28,sad,epi3_100_face,15.4
100years,cropped_29,fear,epi3_100_face,15.4
100years,cropped_3,sad,epi3_100_face,15.4
100years,cropped_30,happy,epi3_100_face,15.4
100years,cropped_31,sad,epi3_100_face,15.4
100years,cropped_32,happy,epi3_100_face,15.4
100years,cropped_33,fear,epi3_100_face,15.4
100years,cropped_34,happy,epi3_100_face,15.4
100years,cropped_35,sad,epi3_100_face,15.4
100years,cropped_36,sad,epi3_100_face,15.4
100years,cropped_37,sad,epi3_100_face,15.4
100years,cropped_38,fear,epi3_100_face,15.4
100years,cropped_39,None,epi3_100_face,15.4
100years,cropped_4,sad,epi3_100_face,15.4
100years,cropped_40,None,epi3_100_face,15.4
100years,cropped_41,happy,epi3_100_face,15.4
100years,cropped_42,None,epi3_100_face,15.4
100years,cropped_43,None,epi3_100_face,15.4
100years,cropped_44,sad,epi3_100_face,15.4
100years,cropped_45,None,epi3_100_face,15.4
100years,cropped_46,sad,epi3_100_face,15.4
100years,cropped_47,sad,epi3_100_face,15.4
100years,cropped_48,None,epi3_100_face,15.4
100years,cropped_49,fear,epi3_100_face,15.4
100years,cropped_5,fear,epi3_100_face,15.4
100years,cropped_50,happy,epi3_100_face,15.4
100years,cropped_51,fear,epi3_100_face,15.4
100years,cropped_52,fear,epi3_100_face,15.4
100years,cropped_53,sad,epi3_100_face,15.4
100years,cropped_54,None,epi3_100_face,15.4
100years,cropped_55,fear,epi3_100_face,15.4
100years,cropped_56,fear,epi3_100_face,15.4
100years,cropped_57,happy,epi3_100_face,15.4
100years,cropped_58,happy,epi3_100_face,15.4
100years,cropped_59,None,epi3_100_face,15.4
100years,cropped_6,happy,epi3_100_face,15.4
100years,cropped_60,sad,epi3_100_face,15.4
100years,cropped_61,sad,epi3_100_face,15.4
100years,cropped_62,fear,epi3_100_face,15.4
100years,cropped_63,happy,epi3_100_face,15.4
100years,cropped_64,fear,epi3_100_face,15.4
100years,cropped_65,sad,epi3_100_face,15.4
100years,cropped_66,surprise,epi3_100_face,15.4
100years,cropped_67,sad,epi3_100_face,15.4
100years,cropped_68,fear,epi3_100_face,15.4
100years,cropped_69,None,epi3_100_face,15.4
100years,cropped_7,sad,epi3_100_face,15.4
100years,cropped_70,sad,epi3_100_face,15.4
100years,cropped_71,None,epi3_100_face,15.4
100years,cropped_72,sad,epi3_100_face,15.4
100years,cropped_73,None,epi3_100_face,15.4
100years,cropped_74,sad,epi3_100_face,15.4
100years,cropped_75,happy,epi3_100_face,15.4
100years,cropped_76,happy,epi3_100_face,15.4
100years,cropped_77,sad,epi3_100_face,15.4
100years,cropped_78,fear,epi3_100_face,15.4
100years,cropped_79,sad,epi3_100_face,15.4
100years,cropped_8,None,epi3_100_face,15.4
100years,cropped_80,happy,epi3_100_face,15.4
100years,cropped_81,None,epi3_100_face,15.4
100years,cropped_82,None,epi3_100_face,15.4
100years,cropped_83,fear,epi3_100_face,15.4
100years,cropped_84,None,epi3_100_face,15.4
100years,cropped_85,sad,epi3_100_face,15.4
100years,cropped_86,happy,epi3_100_face,15.4
100years,cropped_87,sad,epi3_100_face,15.4
100years,cropped_88,fear,epi3_100_face,15.4
100years,cropped_89,happy,epi3_100_face,15.4
100years,cropped_9,sad,epi3_100_face,15.4
100years,cropped_90,sad,epi3_100_face,15.4
100years,cropped_91,None,epi3_100_face,15.4
100years,cropped_92,fear,epi3_100_face,15.4
100years,cropped_93,sad,epi3_100_face,15.4
100years,cropped_94,sad,epi3_100_face,15.4
100years,cropped_95,happy,epi3_100_face,15.4
100years,cropped_96,sad,epi3_100_face,15.4
100years,cropped_97,fear,epi3_100_face,15.4
100years,cropped_98,None,epi3_100_face,15.4
100years,cropped_99,sad,epi3_100_face,15.4
,,None,epi1_100_face,14.9
,cropped_1,happy,epi1_100_face,14.9
,cropped_10,sad,epi1_100_face,14.9
,cropped_100,happy,epi1_100_face,14.9
,cropped_101,happy,epi1_100_face,14.9
,cropped_102,sad,epi1_100_face,14.9
,cropped_103,surprise,epi1_100_face,14.9
,cropped_11,fear,epi1_100_face,14.9
,cropped_12,happy,epi1_100_face,14.9
,cropped_13,sad,epi1_100_face,14.9
,cropped_14,sad,epi1_100_face,14.9
,cropped_15,fear,epi1_100_face,14.9
,cropped_16,sad,epi1_100_face,14.9
,cropped_17,happy,epi1_100_face,14.9
,cropped_18,fear,epi1_100_face,14.9
,cropped_19,sad,epi1_100_face,14.9
,cropped_2,surprise,epi1_100_face,14.9
,cropped_20,sad,epi1_100_face,14.9
,cropped_21,happy,epi1_100_face,14.9
,cropped_22,surprise,epi1_100_face,14.9
,cropped_23,surprise,epi1_100_face,14.9
,cropped_24,fear,epi1_100_face,14.9
,cropped_25,happy,epi1_100_face,14.9
,cropped_26,fear,epi1_100_face,14.9
,cropped_27,sad,epi1_100_face,14.9
,cropped_28,fear,epi1_100_face,14.9
,cropped_29,sad,epi1_100_face,14.9
,cropped_3,sad,epi1_100_face,14.9
,cropped_30,happy,epi1_100_face,14.9
,cropped_31,None,epi1_100_face,14.9
,cropped_32,sad,epi1_100_face,14.9
,cropped_33,None,epi1_100_face,14.9
,cropped_34,None,epi1_100_face,14.9
,cropped_35,None,epi1_100_face,14.9
,cropped_36,sad,epi1_100_face,14.9
,cropped_37,sad,epi1_100_face,14.9
,cropped_38,fear,epi1_100_face,14.9
,cropped_39,surprise,epi1_100_face,14.9
,cropped_4,sad,epi1_100_face,14.9
,cropped_40,happy,epi1_100_face,14.9
,cropped_41,sad,epi1_100_face,14.9
,cropped_42,fear,epi1_100_face,14.9
,cropped_43,sad,epi1_100_face,14.9
,cropped_44,happy,epi1_100_face,14.9
,cropped_45,fear,epi1_100_face,14.9
,cropped_46,happy,epi1_100_face,14.9
,cropped_47,happy,epi1_100_face,14.9
,cropped_48,sad,epi1_100_face,14.9
,cropped_49,sad,epi1_100_face,14.9
,cropped_5,sad,epi1_100_face,14.9
,cropped_50,happy,epi1_100_face,14.9
,cropped_51,happy,epi1_100_face,14.9
,cropped_52,angry,epi1_100_face,14.9
,cropped_53,sad,epi1_100_face,14.9
,cropped_54,None,epi1_100_face,14.9
,cropped_55,sad,epi1_100_face,14.9
,cropped_56,surprise,epi1_100_face,14.9
,cropped_57,surprise,epi1_100_face,14.9
,cropped_58,fear,epi1_100_face,14.9
,cropped_59,fear,epi1_100_face,14.9
,cropped_6,sad,epi1_100_face,14.9
,cropped_60,None,epi1_100_face,14.9
,cropped_61,happy,epi1_100_face,14.9
,cropped_62,None,epi1_100_face,14.9
,cropped_63,sad,epi1_100_face,14.9
,cropped_64,sad,epi1_100_face,14.9
,cropped_65,sad,epi1_100_face,14.9
,cropped_66,angry,epi1_100_face,14.9
,cropped_67,sad,epi1_100_face,14.9
,cropped_68,surprise,epi1_100_face,14.9
,cropped_69,happy,epi1_100_face,14.9
,cropped_7,happy,epi1_100_face,14.9
,cropped_70,sad,epi1_100_face,14.9
,cropped_71,None,epi1_100_face,14.9
,cropped_72,sad,epi1_100_face,14.9
,cropped_73,fear,epi1_100_face,14.9
,cropped_74,fear,epi1_100_face,14.9
,cropped_75,sad,epi1_100_face,14.9
,cropped_76,fear,epi1_100_face,14.9
,cropped_77,happy,epi1_100_face,14.9
,cropped_78,sad,epi1_100_face,14.9
,cropped_79,sad,epi1_100_face,14.9
,cropped_8,happy,epi1_100_face,14.9
,cropped_80,None,epi1_100_face,14.9
,cropped_81,fear,epi1_100_face,14.9
,cropped_82,sad,epi1_100_face,14.9
,cropped_83,None,epi1_100_face,14.9
,cropped_84,happy,epi1_100_face,14.9
,cropped_85,sad,epi1_100_face,14.9
,cropped_86,sad,epi1_100_face,14.9
,cropped_87,sad,epi1_100_face,14.9
,cropped_88,None,epi1_100_face,14.9
,cropped_89,sad,epi1_100_face,14.9
,cropped_9,sad,epi1_100_face,14.9
,cropped_90,sad,epi1_100_face,14.9
,cropped_91,sad,epi1_100_face,14.9
,cropped_92,angry,epi1_100_face,14.9
,cropped_93,None,epi1_100_face,14.9
,cropped_94,None,epi1_100_face,14.9
,cropped_95,None,epi1_100_face,14.9
,cropped_96,happy,epi1_100_face,14.9
,cropped_97,happy,epi1_100_face,14.9
,cropped_98,surprise,epi1_100_face,14.9
,cropped_99,sad,epi1_100_face,14.9
