name,fileName,emotion,episode
yawang,cropped_9,None,epi9
yawang,cropped_90,sad,epi9
yawang,cropped_91,angry,epi9
yawang,cropped_92,fear,epi9
yawang,cropped_93,None,epi9
yawang,cropped_94,None,epi9
yawang,cropped_95,None,epi9
yawang,cropped_96,happy,epi9
yawang,cropped_97,fear,epi9
yawang,cropped_98,happy,epi9
yawang,cropped_99,None,epi9
yawang,cropped_1,sad,epi8
yawang,cropped_10,None,epi8
yawang,cropped_100,None,epi8
yawang,cropped_11,sad,epi8
yawang,cropped_12,None,epi8
yawang,cropped_13,disgust,epi8
yawang,cropped_14,None,epi8
yawang,cropped_15,angry,epi8
yawang,cropped_16,fear,epi8
yawang,cropped_17,sad,epi8
yawang,cropped_18,happy,epi8
yawang,cropped_19,sad,epi8
yawang,cropped_2,fear,epi8
yawang,cropped_20,sad,epi8
yawang,cropped_21,None,epi8
yawang,cropped_22,sad,epi8
yawang,cropped_23,fear,epi8
yawang,cropped_24,fear,epi8
yawang,cropped_25,None,epi8
yawang,cropped_26,happy,epi8
yawang,cropped_27,fear,epi8
yawang,cropped_28,None,epi8
yawang,cropped_29,None,epi8
yawang,cropped_3,sad,epi8
yawang,cropped_30,angry,epi8
yawang,cropped_31,None,epi8
yawang,cropped_32,sad,epi8
yawang,cropped_33,happy,epi8
yawang,cropped_34,fear,epi8
yawang,cropped_35,None,epi8
yawang,cropped_36,None,epi8
yawang,cropped_37,happy,epi8
yawang,cropped_38,happy,epi8
yawang,cropped_39,happy,epi8
yawang,cropped_4,happy,epi8
yawang,cropped_40,happy,epi8
yawang,cropped_41,happy,epi8
yawang,cropped_42,angry,epi8
yawang,cropped_43,fear,epi8
yawang,cropped_44,fear,epi8
yawang,cropped_45,sad,epi8
yawang,cropped_46,fear,epi8
yawang,cropped_47,sad,epi8
yawang,cropped_48,sad,epi8
yawang,cropped_49,None,epi8
yawang,cropped_5,sad,epi8
yawang,cropped_50,fear,epi8
yawang,cropped_51,None,epi8
yawang,cropped_52,None,epi8
yawang,cropped_53,sad,epi8
yawang,cropped_54,None,epi8
yawang,cropped_55,sad,epi8
yawang,cropped_56,None,epi8
yawang,cropped_57,None,epi8
yawang,cropped_58,None,epi8
yawang,cropped_59,fear,epi8
yawang,cropped_6,sad,epi8
yawang,cropped_60,None,epi8
yawang,cropped_61,fear,epi8
yawang,cropped_62,sad,epi8
yawang,cropped_63,None,epi8
yawang,cropped_64,sad,epi8
yawang,cropped_65,None,epi8
yawang,cropped_66,sad,epi8
yawang,cropped_67,sad,epi8
yawang,cropped_68,happy,epi8
yawang,cropped_69,None,epi8
yawang,cropped_7,fear,epi8
yawang,cropped_70,fear,epi8
yawang,cropped_71,sad,epi8
yawang,cropped_72,fear,epi8
yawang,cropped_73,fear,epi8
yawang,cropped_74,sad,epi8
yawang,cropped_75,happy,epi8
yawang,cropped_76,happy,epi8
yawang,cropped_77,happy,epi8
yawang,cropped_78,sad,epi8
yawang,cropped_79,fear,epi8
yawang,cropped_8,happy,epi8
yawang,cropped_80,fear,epi8
yawang,cropped_81,fear,epi8
yawang,cropped_82,sad,epi8
yawang,cropped_83,fear,epi8
yawang,cropped_84,surprise,epi8
yawang,cropped_85,sad,epi8
yawang,cropped_86,fear,epi8
yawang,cropped_87,fear,epi8
yawang,cropped_88,happy,epi8
yawang,cropped_89,fear,epi8
yawang,cropped_9,happy,epi8
yawang,cropped_90,happy,epi8
yawang,cropped_91,sad,epi8
yawang,cropped_92,angry,epi8
yawang,cropped_93,happy,epi8
yawang,cropped_94,happy,epi8
yawang,cropped_95,fear,epi8
yawang,cropped_96,angry,epi8
yawang,cropped_97,angry,epi8
yawang,cropped_98,sad,epi8
yawang,cropped_99,sad,epi8
yawang,cropped_1,fear,epi6
yawang,cropped_10,sad,epi6
yawang,cropped_100,happy,epi6
yawang,cropped_11,sad,epi6
yawang,cropped_12,sad,epi6
yawang,cropped_13,happy,epi6
yawang,cropped_14,sad,epi6
yawang,cropped_15,happy,epi6
yawang,cropped_16,fear,epi6
yawang,cropped_17,sad,epi6
yawang,cropped_18,fear,epi6
yawang,cropped_19,None,epi6
yawang,cropped_2,None,epi6
yawang,cropped_20,happy,epi6
yawang,cropped_21,None,epi6
yawang,cropped_22,sad,epi6
yawang,cropped_23,None,epi6
yawang,cropped_24,fear,epi6
yawang,cropped_25,sad,epi6
yawang,cropped_26,fear,epi6
yawang,cropped_27,fear,epi6
yawang,cropped_28,sad,epi6
yawang,cropped_29,sad,epi6
yawang,cropped_3,None,epi6
yawang,cropped_30,None,epi6
yawang,cropped_31,None,epi6
yawang,cropped_32,fear,epi6
yawang,cropped_33,sad,epi6
yawang,cropped_34,None,epi6
yawang,cropped_35,sad,epi6
yawang,cropped_36,sad,epi6
yawang,cropped_37,sad,epi6
yawang,cropped_38,disgust,epi6
yawang,cropped_39,surprise,epi6
yawang,cropped_4,None,epi6
yawang,cropped_40,sad,epi6
yawang,cropped_41,sad,epi6
yawang,cropped_42,happy,epi6
yawang,cropped_43,sad,epi6
yawang,cropped_44,sad,epi6
yawang,cropped_45,sad,epi6
yawang,cropped_46,sad,epi6
yawang,cropped_47,sad,epi6
yawang,cropped_48,sad,epi6
yawang,cropped_49,happy,epi6
yawang,cropped_5,fear,epi6
yawang,cropped_50,sad,epi6
yawang,cropped_51,sad,epi6
yawang,cropped_52,sad,epi6
yawang,cropped_53,sad,epi6
yawang,cropped_54,sad,epi6
yawang,cropped_55,sad,epi6
yawang,cropped_56,sad,epi6
yawang,cropped_57,fear,epi6
yawang,cropped_58,fear,epi6
yawang,cropped_59,sad,epi6
yawang,cropped_6,fear,epi6
