fileName,emotion
cropped_49,fear
cropped_75,sad
cropped_61,sad
cropped_60,fear
cropped_74,sad
cropped_48,sad
cropped_62,happy
cropped_76,sad
cropped_89,sad
cropped_88,None
cropped_77,sad
cropped_63,sad
cropped_67,sad
cropped_73,sad
cropped_98,None
cropped_100,fear
cropped_101,sad
cropped_99,fear
cropped_72,None
cropped_66,happy
cropped_70,sad
cropped_64,None
cropped_58,surprise
cropped_103,sad
cropped_102,fear
cropped_59,None
cropped_65,happy
cropped_71,None
cropped_16,sad
cropped_6,happy
cropped_7,happy
cropped_17,happy
cropped_29,fear
cropped_15,sad
cropped_5,fear
cropped_4,fear
cropped_14,happy
cropped_28,happy
cropped_10,fear
cropped_38,happy
cropped_1,sad
cropped_39,surprise
cropped_11,None
cropped_13,sad
cropped_3,sad
cropped_2,sad
cropped_12,sad
cropped_37,happy
cropped_23,sad
cropped_22,None
cropped_36,None
cropped_20,None
cropped_34,fear
cropped_35,sad
cropped_21,fear
cropped_25,None
cropped_31,happy
cropped_19,None
cropped_9,happy
cropped_8,fear
cropped_18,None
cropped_30,fear
cropped_24,sad
cropped_32,sad
cropped_26,sad
cropped_27,sad
cropped_33,sad
cropped_68,None
cropped_40,sad
cropped_97,fear
cropped_83,happy
cropped_82,fear
cropped_96,sad
cropped_41,surprise
cropped_55,sad
cropped_69,happy
cropped_57,None
cropped_80,angry
cropped_94,happy
cropped_95,sad
cropped_81,fear
cropped_56,sad
cropped_42,angry
cropped_46,fear
cropped_52,sad
cropped_85,sad
cropped_91,sad
cropped_90,None
cropped_84,fear
cropped_47,sad
cropped_51,happy
cropped_45,happy
cropped_79,surprise
cropped_92,sad
cropped_86,sad
cropped_87,None
cropped_93,sad
cropped_78,happy
cropped_44,fear
cropped_50,sad
